institution_name,term_year,term_semester,lead_source,stage,event_year,event_month,event_month_name,stage_count
Central Washington University,2024,Fall,Analytics,app_submits,2020,1,Jan,1
Central Washington University,2024,Fall,Analytics,app_submits,2020,4,Apr,2
Central Washington University,2024,Fall,Analytics,app_submits,2020,9,Sep,2
Central Washington University,2024,Fall,Analytics,app_submits,2020,10,Oct,2
Central Washington University,2024,Fall,Analytics,app_submits,2020,11,Nov,2
Central Washington University,2024,Fall,Analytics,app_submits,2021,1,Jan,1
Central Washington University,2024,Fall,Analytics,app_submits,2021,3,Mar,1
Central Washington University,2024,Fall,Analytics,app_submits,2021,4,Apr,1
Central Washington University,2024,Fall,Analytics,app_submits,2021,10,Oct,1
Central Washington University,2024,Fall,Analytics,app_submits,2021,11,Nov,3
Central Washington University,2024,Fall,Analytics,app_submits,2021,12,Dec,2
Central Washington University,2024,Fall,Analytics,app_submits,2022,1,Jan,4
Central Washington University,2024,Fall,Analytics,app_submits,2022,2,Feb,1
Central Washington University,2024,Fall,Analytics,app_submits,2022,3,Mar,1
Central Washington University,2024,Fall,Analytics,app_submits,2022,4,Apr,1
Central Washington University,2024,Fall,Analytics,app_submits,2022,5,May,1
Central Washington University,2024,Fall,Analytics,app_submits,2022,8,Aug,2
Central Washington University,2024,Fall,Analytics,app_submits,2022,12,Dec,2
Central Washington University,2024,Fall,Analytics,app_submits,2023,1,Jan,2
Central Washington University,2024,Fall,Analytics,app_submits,2023,3,Mar,2
Central Washington University,2024,Fall,Analytics,app_submits,2023,6,Jun,1
Central Washington University,2024,Fall,Analytics,app_submits,2023,10,Oct,1
Central Washington University,2024,Fall,Analytics,app_submits,2023,11,Nov,4
Central Washington University,2024,Fall,Analytics,app_submits,2023,12,Dec,7
Central Washington University,2024,Fall,Analytics,app_submits,2024,1,Jan,4
Central Washington University,2024,Fall,Analytics,app_submits,2024,2,Feb,2
Central Washington University,2024,Fall,Analytics,app_submits,2024,3,Mar,1
Central Washington University,2024,Fall,Analytics,app_submits,2024,4,Apr,2
Central Washington University,2024,Fall,Analytics,app_submits,2024,5,May,9
Central Washington University,2024,Fall,Analytics,app_submits,2024,6,Jun,23
Central Washington University,2024,Fall,Analytics,app_submits,2024,7,Jul,34
Central Washington University,2024,Fall,Analytics,app_submits,2024,8,Aug,25
Central Washington University,2024,Fall,Analytics,app_submits,2024,9,Sep,9
Central Washington University,2024,Fall,Analytics,app_submits,2025,5,May,1
Central Washington University,2024,Fall,Analytics,app_submits,2025,12,Dec,1
Central Washington University,2024,Fall,Analytics,app_submits,2026,3,Mar,1
Central Washington University,2025,Fall,Analytics,app_submits,2019,12,Dec,1
Central Washington University,2025,Fall,Analytics,app_submits,2020,5,May,1
Central Washington University,2025,Fall,Analytics,app_submits,2023,1,Jan,1
Central Washington University,2025,Fall,Analytics,app_submits,2023,9,Sep,1
Central Washington University,2025,Fall,Analytics,app_submits,2023,11,Nov,2
Central Washington University,2025,Fall,Analytics,app_submits,2023,12,Dec,2
Central Washington University,2025,Fall,Analytics,app_submits,2024,1,Jan,3
Central Washington University,2025,Fall,Analytics,app_submits,2024,2,Feb,1
Central Washington University,2025,Fall,Analytics,app_submits,2024,3,Mar,1
Central Washington University,2025,Fall,Analytics,app_submits,2024,5,May,4
Central Washington University,2025,Fall,Analytics,app_submits,2024,6,Jun,4
Central Washington University,2025,Fall,Analytics,app_submits,2024,7,Jul,11
Central Washington University,2025,Fall,Analytics,app_submits,2024,8,Aug,23
Central Washington University,2025,Fall,Analytics,app_submits,2024,9,Sep,44
Central Washington University,2025,Fall,Analytics,app_submits,2024,10,Oct,70
Central Washington University,2025,Fall,Analytics,app_submits,2024,11,Nov,9
Central Washington University,2025,Fall,Analytics,app_submits,2025,3,Mar,1
Central Washington University,2025,Fall,Analytics,app_submits,2025,11,Nov,1
Central Washington University,2026,Fall,Analytics,app_submits,2024,8,Aug,1
Central Washington University,2024,Fall,Analytics,deposits,2023,7,Jul,1
Central Washington University,2024,Fall,Analytics,deposits,2024,6,Jun,2
Central Washington University,2024,Fall,Analytics,deposits,2024,7,Jul,39
Central Washington University,2024,Fall,Analytics,deposits,2024,8,Aug,17
Central Washington University,2024,Fall,Analytics,deposits,2024,9,Sep,5
Central Washington University,2024,Fall,Analytics,deposits,2024,10,Oct,1
Central Washington University,2024,Fall,Analytics,deposits,2025,5,May,1
Central Washington University,2024,Fall,Analytics,deposits,2026,1,Jan,1
Central Washington University,2025,Fall,Analytics,deposits,2023,12,Dec,1
Central Washington University,2025,Fall,Analytics,deposits,2024,1,Jan,1
Central Washington University,2025,Fall,Analytics,deposits,2024,2,Feb,1
Central Washington University,2025,Fall,Analytics,deposits,2024,4,Apr,1
Central Washington University,2025,Fall,Analytics,deposits,2024,5,May,1
Central Washington University,2025,Fall,Analytics,deposits,2024,6,Jun,3
Central Washington University,2025,Fall,Analytics,deposits,2024,7,Jul,7
Central Washington University,2025,Fall,Analytics,deposits,2024,8,Aug,12
Central Washington University,2025,Fall,Analytics,deposits,2024,9,Sep,26
Central Washington University,2025,Fall,Analytics,deposits,2024,10,Oct,59
Central Washington University,2025,Fall,Analytics,deposits,2024,11,Nov,38
Central Washington University,2025,Fall,Analytics,deposits,2026,1,Jan,1
Central Washington University,2026,Fall,Analytics,deposits,2024,11,Nov,1
Central Washington University,2024,Fall,Analytics,inquiries,2018,11,Nov,1
Central Washington University,2024,Fall,Analytics,inquiries,2019,5,May,1
Central Washington University,2024,Fall,Analytics,inquiries,2019,8,Aug,1
Central Washington University,2024,Fall,Analytics,inquiries,2019,10,Oct,2
Central Washington University,2024,Fall,Analytics,inquiries,2019,11,Nov,2
Central Washington University,2024,Fall,Analytics,inquiries,2019,12,Dec,1
Central Washington University,2024,Fall,Analytics,inquiries,2020,6,Jun,1
Central Washington University,2024,Fall,Analytics,inquiries,2020,9,Sep,1
Central Washington University,2024,Fall,Analytics,inquiries,2021,2,Feb,3
Central Washington University,2024,Fall,Analytics,inquiries,2021,8,Aug,1
Central Washington University,2024,Fall,Analytics,inquiries,2021,10,Oct,2
Central Washington University,2024,Fall,Analytics,inquiries,2021,11,Nov,1
Central Washington University,2024,Fall,Analytics,inquiries,2022,2,Feb,1
Central Washington University,2024,Fall,Analytics,inquiries,2022,3,Mar,1
Central Washington University,2024,Fall,Analytics,inquiries,2022,7,Jul,1
Central Washington University,2024,Fall,Analytics,inquiries,2022,10,Oct,2
Central Washington University,2024,Fall,Analytics,inquiries,2022,11,Nov,1
Central Washington University,2024,Fall,Analytics,inquiries,2022,12,Dec,1
Central Washington University,2024,Fall,Analytics,inquiries,2023,1,Jan,3
Central Washington University,2024,Fall,Analytics,inquiries,2023,3,Mar,1
Central Washington University,2024,Fall,Analytics,inquiries,2023,4,Apr,2
Central Washington University,2024,Fall,Analytics,inquiries,2023,5,May,1
Central Washington University,2024,Fall,Analytics,inquiries,2023,7,Jul,1
Central Washington University,2024,Fall,Analytics,inquiries,2023,10,Oct,3
Central Washington University,2024,Fall,Analytics,inquiries,2023,11,Nov,3
Central Washington University,2024,Fall,Analytics,inquiries,2023,12,Dec,3
Central Washington University,2024,Fall,Analytics,inquiries,2024,2,Feb,4
Central Washington University,2024,Fall,Analytics,inquiries,2024,4,Apr,1
Central Washington University,2024,Fall,Analytics,inquiries,2024,5,May,4
Central Washington University,2024,Fall,Analytics,inquiries,2024,6,Jun,3
Central Washington University,2024,Fall,Analytics,inquiries,2024,7,Jul,5
Central Washington University,2024,Fall,Analytics,inquiries,2024,8,Aug,6
Central Washington University,2025,Fall,Analytics,inquiries,2018,8,Aug,1
Central Washington University,2025,Fall,Analytics,inquiries,2021,10,Oct,1
Central Washington University,2025,Fall,Analytics,inquiries,2021,11,Nov,2
Central Washington University,2025,Fall,Analytics,inquiries,2022,7,Jul,2
Central Washington University,2025,Fall,Analytics,inquiries,2022,10,Oct,1
Central Washington University,2025,Fall,Analytics,inquiries,2022,12,Dec,2
Central Washington University,2025,Fall,Analytics,inquiries,2023,2,Feb,1
Central Washington University,2025,Fall,Analytics,inquiries,2023,4,Apr,3
Central Washington University,2025,Fall,Analytics,inquiries,2023,5,May,2
Central Washington University,2025,Fall,Analytics,inquiries,2023,6,Jun,1
Central Washington University,2025,Fall,Analytics,inquiries,2023,7,Jul,1
Central Washington University,2025,Fall,Analytics,inquiries,2023,8,Aug,2
Central Washington University,2025,Fall,Analytics,inquiries,2023,9,Sep,4
Central Washington University,2025,Fall,Analytics,inquiries,2023,10,Oct,8
Central Washington University,2025,Fall,Analytics,inquiries,2023,11,Nov,9
Central Washington University,2025,Fall,Analytics,inquiries,2023,12,Dec,4
Central Washington University,2025,Fall,Analytics,inquiries,2024,1,Jan,6
Central Washington University,2025,Fall,Analytics,inquiries,2024,2,Feb,5
Central Washington University,2025,Fall,Analytics,inquiries,2024,3,Mar,17
Central Washington University,2025,Fall,Analytics,inquiries,2024,4,Apr,9
Central Washington University,2025,Fall,Analytics,inquiries,2024,5,May,7
Central Washington University,2025,Fall,Analytics,inquiries,2024,6,Jun,4
Central Washington University,2025,Fall,Analytics,inquiries,2024,7,Jul,10
Central Washington University,2025,Fall,Analytics,inquiries,2024,8,Aug,11
Central Washington University,2025,Fall,Analytics,inquiries,2024,9,Sep,17
Central Washington University,2025,Fall,Analytics,inquiries,2024,10,Oct,7
Central Washington University,2025,Fall,Analytics,inquiries,2024,11,Nov,1
Central Washington University,2026,Fall,Analytics,inquiries,2024,3,Mar,1
Central Washington University,2024,Fall,Analytics,net_deposits,2023,7,Jul,1
Central Washington University,2024,Fall,Analytics,net_deposits,2024,6,Jun,2
Central Washington University,2024,Fall,Analytics,net_deposits,2024,7,Jul,36
Central Washington University,2024,Fall,Analytics,net_deposits,2024,8,Aug,16
Central Washington University,2024,Fall,Analytics,net_deposits,2024,9,Sep,5
Central Washington University,2024,Fall,Analytics,net_deposits,2024,10,Oct,0
Central Washington University,2024,Fall,Analytics,net_deposits,2025,5,May,1
Central Washington University,2024,Fall,Analytics,net_deposits,2026,1,Jan,1
Central Washington University,2025,Fall,Analytics,net_deposits,2023,12,Dec,0
Central Washington University,2025,Fall,Analytics,net_deposits,2024,1,Jan,1
Central Washington University,2025,Fall,Analytics,net_deposits,2024,2,Feb,0
Central Washington University,2025,Fall,Analytics,net_deposits,2024,4,Apr,1
Central Washington University,2025,Fall,Analytics,net_deposits,2024,5,May,0
Central Washington University,2025,Fall,Analytics,net_deposits,2024,6,Jun,2
Central Washington University,2025,Fall,Analytics,net_deposits,2024,7,Jul,7
Central Washington University,2025,Fall,Analytics,net_deposits,2024,8,Aug,9
Central Washington University,2025,Fall,Analytics,net_deposits,2024,9,Sep,22
Central Washington University,2025,Fall,Analytics,net_deposits,2024,10,Oct,46
Central Washington University,2025,Fall,Analytics,net_deposits,2024,11,Nov,31
Central Washington University,2025,Fall,Analytics,net_deposits,2026,1,Jan,1
Central Washington University,2026,Fall,Analytics,net_deposits,2024,11,Nov,1
Central Washington University,2024,Fall,Clarity,admits,2023,7,Jul,1
Central Washington University,2024,Fall,Clarity,admits,2023,9,Sep,6
Central Washington University,2024,Fall,Clarity,admits,2023,10,Oct,26
Central Washington University,2024,Fall,Clarity,admits,2023,11,Nov,73
Central Washington University,2024,Fall,Clarity,admits,2023,12,Dec,41
Central Washington University,2024,Fall,Clarity,admits,2024,1,Jan,44
Central Washington University,2024,Fall,Clarity,admits,2024,2,Feb,43
Central Washington University,2024,Fall,Clarity,admits,2024,3,Mar,35
Central Washington University,2024,Fall,Clarity,admits,2024,4,Apr,77
Central Washington University,2024,Fall,Clarity,admits,2024,5,May,77
Central Washington University,2024,Fall,Clarity,admits,2024,6,Jun,36
Central Washington University,2024,Fall,Clarity,admits,2024,7,Jul,43
Central Washington University,2024,Fall,Clarity,admits,2024,8,Aug,33
Central Washington University,2024,Fall,Clarity,admits,2024,9,Sep,15
Central Washington University,2024,Fall,Clarity,admits,2024,11,Nov,1
Central Washington University,2024,Fall,Clarity,admits,2025,2,Feb,2
Central Washington University,2024,Fall,Clarity,admits,2025,4,Apr,1
Central Washington University,2024,Fall,Clarity,admits,2025,5,May,2
Central Washington University,2024,Fall,Clarity,admits,2025,7,Jul,2
Central Washington University,2024,Fall,Clarity,admits,2025,10,Oct,1
Central Washington University,2024,Fall,Clarity,admits,2025,11,Nov,1
Central Washington University,2024,Fall,Clarity,admits,2025,12,Dec,1
Central Washington University,2024,Fall,Clarity,admits,2026,2,Feb,1
Central Washington University,2025,Fall,Clarity,admits,2023,6,Jun,1
Central Washington University,2025,Fall,Clarity,admits,2023,8,Aug,1
Central Washington University,2025,Fall,Clarity,admits,2023,9,Sep,3
Central Washington University,2025,Fall,Clarity,admits,2023,10,Oct,3
Central Washington University,2025,Fall,Clarity,admits,2023,11,Nov,13
Central Washington University,2025,Fall,Clarity,admits,2023,12,Dec,15
Central Washington University,2025,Fall,Clarity,admits,2024,1,Jan,7
Central Washington University,2025,Fall,Clarity,admits,2024,2,Feb,3
Central Washington University,2025,Fall,Clarity,admits,2024,3,Mar,2
Central Washington University,2025,Fall,Clarity,admits,2024,4,Apr,3
Central Washington University,2025,Fall,Clarity,admits,2024,5,May,2
Central Washington University,2025,Fall,Clarity,admits,2024,6,Jun,9
Central Washington University,2025,Fall,Clarity,admits,2024,7,Jul,16
Central Washington University,2025,Fall,Clarity,admits,2024,8,Aug,26
Central Washington University,2025,Fall,Clarity,admits,2024,9,Sep,68
