institution_name,term_year,term_semester,student_type,is_international,origin_source_first,student_state,program_level,program_name,event_year,event_month,event_month_name,total_prospects,total_inquiries,total_app_starts,total_app_submits,total_admits,total_deposits,total_net_deposits,total_enrolled
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,,,,2018,9,Sep,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,High School Visit,WA,,psychology,2018,9,Sep,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,High School Visit,WA,,elementary education baed,2018,9,Sep,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,High School Visit,WA,,elementary education baed,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,WA,,elementary education baed,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,,,,2018,10,Oct,1,5,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,College Fair,,,exploring majors,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,WA,,business administration bsba leadership and management,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,WA,,ems paramedicine,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Studentpaths,WA,,computer science,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,College Fair,WA,,biology biology,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,,,business administration bsba business,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,High School Visit,WA,,elementary education baed,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,,,,2018,10,Oct,1,0,0,0,0,0,0,0
