client_name,group_name,subgroup_name,product_name,platform_campaign_name,campaign_name,creative,ad_description,image_url,ad_url,preview_url,ad_group,day,impressions,clicks,direct_conversions,view_through_conversions,in_platform_leads,total_conversions,cost,budget,video_starts,video_completions,video_avg
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-19,7642,1,0,0,0,0,,90.64,7612,4760,62.314
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery,2024-01-20,33684,0,0,0,0,0,,61.27,448,115,1.398
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-20,8011,2,0,0,0,0,,90.54,7973,4784,59.68
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery,2024-01-21,31262,0,0,0,0,0,,60.6,430,131,1.414
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-21,7909,1,0,0,0,0,,90.58,7859,4850,61.398
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-01-22,31971,0,0,0,0,0,,60.25,543,133,1.761
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-01-22,7516,0,0,0,0,0,,90.46,7476,4588,60.937
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-01-23,34904,0,0,0,0,0,,60.31,605,139,1.756
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-01-23,7589,1,0,0,0,0,,90.54,7554,4728,62.353
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-01-24,36158,0,0,0,0,0,,60.9,610,121,1.72
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-01-24,7468,3,0,0,0,0,,90.42,7427,4724,63.39
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-01-25,28422,0,0,0,0,0,,60.84,524,111,1.882
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-01-25,7379,3,0,0,0,0,,90.39,7333,4626,62.597
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-01-26,30156,0,0,0,0,0,,60.63,515,124,1.754
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-01-26,7017,1,0,0,0,0,,90.41,6981,4381,62.477
